"gene"	"event"	"dpsi"	"pval"
"ENSG00000138028;AL:chr2:27321757:27322708-27324965:27323466:27324756-27324965:-"	"ENSG00000138028"	"AL"	0.4327747507	0.0424575425
"ENSG00000138028;SE:chr2:27325459-27327155:27327245-27333541:-"	"ENSG00000138028"	"SE"	-0.4264314958	0.0474525475
"ENSG00000138030;MX:chr2:27315316-27317345:27317479-27319597:27315316-27317668:27317802-27319597:+"	"ENSG00000138030"	"MX"	-0.3598080506	0.017982018
"ENSG00000138030;SE:chr2:27317479-27317668:27317802-27319597:+"	"ENSG00000138030"	"SE"	0.3313221062	0.017982018
"ENSG00000138768;SE:chr4:76715054-76716489:76716509-76720775:+"	"ENSG00000138768"	"SE"	0.2589648612	0.035964036
"ENSG00000139344;AF:chr12:96337071:96337313-96346495:96340834:96341215-96346495:+"	"ENSG00000139344"	"AF"	0.2675712648	0.0277222777
"ENSG00000139344;AF:chr12:96337298:96337313-96346495:96340834:96341215-96346495:+"	"ENSG00000139344"	"AF"	0.2940624959	0.0277222777
"ENSG00000139547;SE:chr12:57346774-57348690:57348948-57350934:-"	"ENSG00000139547"	"SE"	0.3025266514	0.012987013
"ENSG00000143546;AF:chr1:153363033-153363333:153363452:153363033-153363517:153363664:-"	"ENSG00000143546"	"AF"	-0.1383449824	0.048951049
"ENSG00000143819;AF:chr1:225997794:225997871-226016426:226013055:226013245-226016426:+"	"ENSG00000143819"	"AF"	-0.233830681	0.0306360306
"ENSG00000143819;AF:chr1:225997797:225997871-226016426:226013055:226013245-226016426:+"	"ENSG00000143819"	"AF"	-0.1526825832	0.0306360306
"ENSG00000143819;AF:chr1:225997836:225998317-226016426:226013055:226013245-226016426:+"	"ENSG00000143819"	"AF"	-0.1641576286	0.0306360306
"ENSG00000148180;A5:chr9:124089070-124089586:124088960-124089586:+"	"ENSG00000148180"	"A5"	0.2688483238	0.027972028
"ENSG00000152492;SE:chr3:191087825-191092851:191093378-191097948:+"	"ENSG00000152492"	"SE"	0.275536429	0.017982018
"ENSG00000159200;AF:chr21:35896008-35898961:35899261:35896008-35987059:35987441:-"	"ENSG00000159200"	"AF"	0.3053296146	0.02997003
"ENSG00000159200;AF:chr21:35896008-35986086:35986142:35896008-35987059:35987441:-"	"ENSG00000159200"	"AF"	0.4472720965	0.024975025
"ENSG00000165152_and_ENSG00000233055;SE:chr9:104239451-104242953:104243007-104249231:-"	"ENSG00000165152;ENSG00000233055"	"SE"	0.5581202382	0.037962038
"ENSG00000165671_and_ENSG00000240729;AF:chr5:176560601:176560635-176562088:176560926:176560953-176562088:+"	"ENSG00000165671;ENSG00000240729"	"AF"	-0.1727935044	0
"ENSG00000169764;AF:chr2:64068074:64068366-64083440:64068844:64069338-64083440:+"	"ENSG00000169764"	"AF"	-0.4554614146	0.0337162837
"ENSG00000169764;AF:chr2:64068074:64068366-64083440:64069459:64069571-64083440:+"	"ENSG00000169764"	"AF"	-0.5012770223	0.0134865135
"ENSG00000184076;A5:chr22:30163596-30165667:30163537-30165667:+"	"ENSG00000184076"	"A5"	-0.1649255379	0.027972028
"ENSG00000198682;SE:chr10:89475600-89481513:89481527-89487041:+"	"ENSG00000198682"	"SE"	0.3546940291	0.012987013
"ENSG00000205403;SE:chr4:110673659-110678919:110678939-110681426:-"	"ENSG00000205403"	"SE"	-0.3316953848	0.017982018
"ENSG00000205403;SE:chr4:110678939-110679092:110679115-110681426:-"	"ENSG00000205403"	"SE"	0.2733578345	0.021978022
"ENSG00000213853_and_ENSG00000260310;AF:chr16:10641534-10652851:10653011:10641534-10674406:10674555:-"	"ENSG00000213853;ENSG00000260310"	"AF"	0.278589532	0.0194805195
"ENSG00000236882;SE:chr5:95188418-95188496:95188630-95192582:+"	"ENSG00000236882"	"SE"	0.5544047971	0.0294705295
"ENSG00000257923_and_ENSG00000272219_and_ENSG00000272544_and_ENSG00000258040;AF:chr7:101460882:101460949-101559395:101462201:101462259-101559395:+"	"ENSG00000257923;ENSG00000272219;ENSG00000272544;ENSG00000258040"	"AF"	0.1008350457	0
